0	1	3	4	14	25	36	52	72	76	19	115	119	156	174	195	224	57	252	256	259	252	252	252	251	261
0	2	2	4	6	20	30	42	60	81	90	110	120	149	168	180	200	238	250	256	260	251	252	252	251	262
0	1	4	3	6	7	21	35	40	13	90	99	108	136	160	179	200	221	241	256	260	251	252	252	251	262
0	2	2	6	4	7	9	24	32	58	75	16	23	130	154	172	167	212	198	256	260	251	252	252	251	262
0	2	3	3	8	5	9	10	24	36	65	88	96	117	126	165	184	204	225	237	260	252	252	90	251	262
1	5	3	5	4	10	6	10	12	13	45	60	84	104	126	29	175	178	216	237	260	40	252	252	251	262
1	6	7	5	6	5	12	7	12	13	15	49	72	91	119	135	31	178	198	218	250	252	252	252	251	262
1	7	12	12	6	8	6	14	8	13	15	16	54	19	20	120	152	161	198	209	210	252	252	252	251	261
1	9	14	48	18	8	9	7	16	9	15	16	18	52	84	97	128	161	171	199	220	230	252	252	251	262
1	9	16	20	24	25	81	7	8	18	10	16	18	19	56	90	104	127	153	151	210	240	253	252	251	262
1	9	17	26	28	30	30	11	8	9	20	11	18	19	21	60	80	110	144	37	200	220	241	253	46	261
1	11	20	27	37	30	39	35	12	14	10	22	12	19	21	22	64	93	117	151	170	199	220	241	252	262
1	13	21	27	38	43	48	46	40	27	10	11	24	13	21	22	24	68	99	133	160	178	209	230	252	262
1	13	22	33	36	45	51	49	48	45	15	11	12	26	14	22	24	25	63	104	119	157	187	230	252	262
2	13	23	33	42	50	57	54	60	14	55	39	12	13	28	15	24	25	27	76	110	136	153	183	215	249
2	13	24	35	46	55	63	67	68	63	65	55	48	13	14	30	16	25	225	28	70	104	143	183	47	224
2	13	26	38	50	53	63	70	13	68	75	72	60	46	14	15	32	17	27	28	30	62	43	149	180	199
2	14	28	39	50	60	69	74	80	91	90	83	19	72	49	15	16	34	18	28	30	31	65	114	155	49
2	15	27	42	52	65	72	81	88	81	95	94	90	91	70	68	16	17	36	28	30	31	33	68	119	149
2	15	29	45	54	65	75	84	92	104	105	105	103	105	98	90	72	17	18	38	30	31	33	34	35	124
2	17	29	44	56	73	78	84	97	108	115	116	120	20	22	98	96	68	27	19	40	31	33	34	36	37
2	16	31	47	60	70	78	95	104	113	120	127	126	117	126	120	104	102	81	29	20	42	33	34	36	37
3	16	32	47	62	75	87	98	108	108	41	132	139	137	140	135	136	119	117	76	20	21	44	34	36	37
3	17	31	44	64	75	84	95	108	113	135	132	144	150	147	150	144	145	126	105	100	21	22	46	36	37
3	9	33	50	64	75	90	102	112	122	135	149	156	156	154	165	152	145	28	124	120	105	66	23	48	37
3	17	34	51	66	80	90	109	120	126	140	149	156	163	168	158	176	179	28	134	140	126	99	69	24	50
